0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:14:43 +0800] "GET /cioclass/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:14:43 +0800] "GET /cioclass/js/common.js HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:14:43 +0800] "GET /cioclass/images/pz.png HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:14:43 +0800] "GET /cioclass/js/handlebars.js HTTP/1.1" 200 171652
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:14:43 +0800] "GET /cioclass/images/bk.jpg HTTP/1.1" 200 190983
192.168.0.101 - - [30/Nov/2017:16:14:43 +0800] "GET /cioclass/xx/modal/resModal HTTP/1.1" 200 1487
192.168.0.101 - - [30/Nov/2017:16:14:43 +0800] "GET /cioclass/xx/modal/classifyModal HTTP/1.1" 200 836
192.168.0.101 - - [30/Nov/2017:16:14:53 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E5%B7%B2%E9%80%89%E5%B1%9E%E6%80%A7&resId=3 HTTP/1.1" 200 430
192.168.0.101 - - [30/Nov/2017:16:14:53 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E6%9C%AA%E9%80%89%E5%B1%9E%E6%80%A7&classifyId=1&resId=3 HTTP/1.1" 200 259
192.168.0.101 - - [30/Nov/2017:16:19:48 +0800] "GET /cioclass/xx/modal/deleteByResIdAndAttributeId?resId=3&attributeId=1 HTTP/1.1" 200 45
192.168.0.101 - - [30/Nov/2017:16:19:50 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E6%9C%AA%E9%80%89%E5%B1%9E%E6%80%A7&classifyId=1&resId=3 HTTP/1.1" 200 430
192.168.0.101 - - [30/Nov/2017:16:19:50 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E5%B7%B2%E9%80%89%E5%B1%9E%E6%80%A7&resId=3 HTTP/1.1" 200 259
192.168.0.101 - - [30/Nov/2017:16:19:51 +0800] "GET /cioclass/xx/modal/addByResIdAndAttributeId?resId=3&attributeId=1 HTTP/1.1" 200 123
192.168.0.101 - - [30/Nov/2017:16:19:51 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E5%B7%B2%E9%80%89%E5%B1%9E%E6%80%A7&resId=3 HTTP/1.1" 200 430
192.168.0.101 - - [30/Nov/2017:16:19:51 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E6%9C%AA%E9%80%89%E5%B1%9E%E6%80%A7&classifyId=1&resId=3 HTTP/1.1" 200 259
192.168.0.101 - - [30/Nov/2017:16:19:52 +0800] "GET /cioclass/xx/modal/deleteByResIdAndAttributeId?resId=3&attributeId=1 HTTP/1.1" 200 45
192.168.0.101 - - [30/Nov/2017:16:19:53 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E6%9C%AA%E9%80%89%E5%B1%9E%E6%80%A7&classifyId=1&resId=3 HTTP/1.1" 200 430
192.168.0.101 - - [30/Nov/2017:16:19:53 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E5%B7%B2%E9%80%89%E5%B1%9E%E6%80%A7&resId=3 HTTP/1.1" 200 259
192.168.0.101 - - [30/Nov/2017:16:19:54 +0800] "GET /cioclass/xx/modal/addByResIdAndAttributeId?resId=3&attributeId=1 HTTP/1.1" 200 123
192.168.0.101 - - [30/Nov/2017:16:19:54 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E5%B7%B2%E9%80%89%E5%B1%9E%E6%80%A7&resId=3 HTTP/1.1" 200 430
192.168.0.101 - - [30/Nov/2017:16:19:54 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E6%9C%AA%E9%80%89%E5%B1%9E%E6%80%A7&classifyId=1&resId=3 HTTP/1.1" 200 259
192.168.0.101 - - [30/Nov/2017:16:19:55 +0800] "GET /cioclass/xx/modal/deleteByResIdAndAttributeId?resId=3&attributeId=1 HTTP/1.1" 200 45
192.168.0.101 - - [30/Nov/2017:16:19:57 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E5%B7%B2%E9%80%89%E5%B1%9E%E6%80%A7&resId=3 HTTP/1.1" 200 259
192.168.0.101 - - [30/Nov/2017:16:19:57 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E6%9C%AA%E9%80%89%E5%B1%9E%E6%80%A7&classifyId=1&resId=3 HTTP/1.1" 200 430
192.168.0.101 - - [30/Nov/2017:16:19:58 +0800] "GET /cioclass/xx/modal/addByResIdAndAttributeId?resId=3&attributeId=1 HTTP/1.1" 200 123
192.168.0.101 - - [30/Nov/2017:16:19:58 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E5%B7%B2%E9%80%89%E5%B1%9E%E6%80%A7&resId=3 HTTP/1.1" 200 430
192.168.0.101 - - [30/Nov/2017:16:19:58 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E6%9C%AA%E9%80%89%E5%B1%9E%E6%80%A7&classifyId=1&resId=3 HTTP/1.1" 200 259
192.168.0.101 - - [30/Nov/2017:16:19:59 +0800] "GET /cioclass/xx/modal/deleteByResIdAndAttributeId?resId=3&attributeId=1 HTTP/1.1" 200 45
192.168.0.101 - - [30/Nov/2017:16:20:00 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E5%B7%B2%E9%80%89%E5%B1%9E%E6%80%A7&resId=3 HTTP/1.1" 200 259
192.168.0.101 - - [30/Nov/2017:16:20:00 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E6%9C%AA%E9%80%89%E5%B1%9E%E6%80%A7&classifyId=1&resId=3 HTTP/1.1" 200 430
192.168.0.101 - - [30/Nov/2017:16:20:25 +0800] "GET /cioclass/xx/modal/addByResIdAndAttributeId?resId=3&attributeId=1 HTTP/1.1" 200 123
192.168.0.101 - - [30/Nov/2017:16:20:25 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E5%B7%B2%E9%80%89%E5%B1%9E%E6%80%A7&resId=3 HTTP/1.1" 200 430
192.168.0.101 - - [30/Nov/2017:16:20:25 +0800] "GET /cioclass/xx/modal/resAttrRelationModal?bt=%E6%9C%AA%E9%80%89%E5%B1%9E%E6%80%A7&classifyId=1&resId=3 HTTP/1.1" 200 259
