192.168.0.101 - - [06/Jan/2018:09:53:17 +0800] "GET / HTTP/1.1" 404 994
192.168.0.101 - - [06/Jan/2018:09:53:20 +0800] "GET /cioclass/ HTTP/1.1" 200 2690
192.168.0.101 - - [06/Jan/2018:09:53:49 +0800] "GET /cioclass/index_or HTTP/1.1" 200 7970
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/statics/css/font-awesome.min.css HTTP/1.1" 200 31000
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/statics/css/all-skins.min.css HTTP/1.1" 200 40757
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/statics/css/AdminLTE.min.css HTTP/1.1" 200 90140
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/js/vue.min.js HTTP/1.1" 200 70910
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/js/jquery.min.js HTTP/1.1" 200 85578
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/statics/css/bootstrap.min.css HTTP/1.1" 200 121200
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/js/router.js HTTP/1.1" 200 1873
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/statics/css/main.css HTTP/1.1" 200 1002
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/statics/plugins/layer/layer.js HTTP/1.1" 200 21343
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/js/app.js HTTP/1.1" 200 23702
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/js/fastclick.min.js HTTP/1.1" 200 8776
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/js/bootstrap.min.js HTTP/1.1" 200 37045
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/js/index.js HTTP/1.1" 200 2852
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/js/jquery.slimscroll.min.js HTTP/1.1" 200 6230
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/statics/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
192.168.0.101 - - [06/Jan/2018:09:53:50 +0800] "GET /cioclass/statics/plugins/layer/skin/default/layer.css?v=3.0.11110 HTTP/1.1" 200 14296
192.168.0.101 - - [06/Jan/2018:09:53:51 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.0.101 - - [06/Jan/2018:09:53:52 +0800] "GET /cioclass/o HTTP/1.1" 404 1052
192.168.0.101 - - [06/Jan/2018:09:53:55 +0800] "GET /cioclass/o HTTP/1.1" 404 1052
192.168.0.101 - - [06/Jan/2018:09:54:06 +0800] "GET /cioclass/o HTTP/1.1" 404 1052
192.168.0.101 - - [06/Jan/2018:09:55:37 +0800] "GET /cioclass/index_or HTTP/1.1" 200 7970
192.168.0.101 - - [06/Jan/2018:09:55:37 +0800] "GET /cioclass/statics/css/font-awesome.min.css HTTP/1.1" 200 31000
192.168.0.101 - - [06/Jan/2018:09:55:37 +0800] "GET /cioclass/statics/css/bootstrap.min.css HTTP/1.1" 200 121200
192.168.0.101 - - [06/Jan/2018:09:55:37 +0800] "GET /cioclass/statics/css/main.css HTTP/1.1" 200 1002
192.168.0.101 - - [06/Jan/2018:09:55:37 +0800] "GET /cioclass/statics/css/all-skins.min.css HTTP/1.1" 200 40757
192.168.0.101 - - [06/Jan/2018:09:55:37 +0800] "GET /cioclass/statics/css/AdminLTE.min.css HTTP/1.1" 200 90140
192.168.0.101 - - [06/Jan/2018:09:55:37 +0800] "GET /cioclass/js/jquery.min.js HTTP/1.1" 200 85578
192.168.0.101 - - [06/Jan/2018:09:55:37 +0800] "GET /cioclass/js/vue.min.js HTTP/1.1" 200 70910
192.168.0.101 - - [06/Jan/2018:09:55:37 +0800] "GET /cioclass/js/router.js HTTP/1.1" 200 1873
192.168.0.101 - - [06/Jan/2018:09:55:37 +0800] "GET /cioclass/js/fastclick.min.js HTTP/1.1" 200 8776
192.168.0.101 - - [06/Jan/2018:09:55:37 +0800] "GET /cioclass/js/jquery.slimscroll.min.js HTTP/1.1" 200 6230
192.168.0.101 - - [06/Jan/2018:09:55:37 +0800] "GET /cioclass/js/app.js HTTP/1.1" 200 23702
