127.0.0.1 - - [03/Jan/2018:09:48:47 +0800] "GET / HTTP/1.1" 404 994
192.168.0.101 - - [03/Jan/2018:09:52:57 +0800] "GET / HTTP/1.1" 404 994
192.168.0.101 - - [03/Jan/2018:09:52:57 +0800] "GET /cioclass/ HTTP/1.1" 404 1012
192.168.0.101 - - [03/Jan/2018:09:54:55 +0800] "GET / HTTP/1.1" 404 994
192.168.0.101 - - [03/Jan/2018:09:54:55 +0800] "GET /cioclass/ HTTP/1.1" 404 1012
192.168.0.101 - - [03/Jan/2018:09:56:36 +0800] "GET / HTTP/1.1" 404 994
192.168.0.101 - - [03/Jan/2018:10:00:42 +0800] "GET / HTTP/1.1" 404 994
192.168.0.101 - - [03/Jan/2018:10:00:43 +0800] "GET /cioclass/ HTTP/1.1" 404 1012
192.168.0.101 - - [03/Jan/2018:10:05:27 +0800] "GET / HTTP/1.1" 404 994
192.168.0.101 - - [03/Jan/2018:10:05:28 +0800] "GET /cioclass/ HTTP/1.1" 404 1012
192.168.0.101 - - [03/Jan/2018:10:08:42 +0800] "GET / HTTP/1.1" 404 994
192.168.0.101 - - [03/Jan/2018:10:08:43 +0800] "GET /cioclass/ HTTP/1.1" 404 1012
192.168.0.101 - - [03/Jan/2018:10:10:30 +0800] "GET / HTTP/1.1" 404 994
192.168.0.101 - - [03/Jan/2018:10:11:09 +0800] "GET / HTTP/1.1" 404 994
192.168.0.101 - - [03/Jan/2018:10:11:10 +0800] "GET /cioclass/ HTTP/1.1" 200 2690
192.168.0.101 - - [03/Jan/2018:10:11:17 +0800] "GET /cioclass/index_or HTTP/1.1" 200 7616
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/statics/css/font-awesome.min.css HTTP/1.1" 200 31000
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/statics/css/AdminLTE.min.css HTTP/1.1" 200 90140
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/js/vue.min.js HTTP/1.1" 200 70910
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/statics/css/all-skins.min.css HTTP/1.1" 200 40757
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/js/jquery.slimscroll.min.js HTTP/1.1" 200 6230
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/js/bootstrap.min.js HTTP/1.1" 200 37045
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/statics/css/main.css HTTP/1.1" 200 1002
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/js/router.js HTTP/1.1" 200 1873
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/statics/plugins/layer/layer.js HTTP/1.1" 200 21343
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/statics/css/bootstrap.min.css HTTP/1.1" 200 121200
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/js/fastclick.min.js HTTP/1.1" 200 8776
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/js/app.js HTTP/1.1" 200 23702
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/js/index.js HTTP/1.1" 200 2852
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/js/jquery.min.js HTTP/1.1" 200 85578
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/statics/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
192.168.0.101 - - [03/Jan/2018:10:11:18 +0800] "GET /cioclass/statics/plugins/layer/skin/default/layer.css?v=3.0.11110 HTTP/1.1" 200 14296
192.168.0.101 - - [03/Jan/2018:10:11:32 +0800] "GET /cioclass/or/readFromFile2DB HTTP/1.1" 200 2400
192.168.0.101 - - [03/Jan/2018:10:11:32 +0800] "GET /cioclass/images/pz.png HTTP/1.1" 200 1002
192.168.0.101 - - [03/Jan/2018:10:11:32 +0800] "GET /cioclass/css/or.css HTTP/1.1" 200 578
192.168.0.101 - - [03/Jan/2018:10:11:32 +0800] "GET /cioclass/js/common.js HTTP/1.1" 200 7461
192.168.0.101 - - [03/Jan/2018:10:11:32 +0800] "GET /cioclass/statics/css/bootstrap.min.css HTTP/1.1" 200 121200
192.168.0.101 - - [03/Jan/2018:10:11:32 +0800] "GET /cioclass/images/bk.jpg HTTP/1.1" 200 190983
192.168.0.3 - - [03/Jan/2018:10:12:04 +0800] "GET /cioclass/index_or HTTP/1.1" 200 7616
192.168.0.3 - - [03/Jan/2018:10:12:05 +0800] "GET /cioclass/statics/css/main.css HTTP/1.1" 200 1002
192.168.0.3 - - [03/Jan/2018:10:12:05 +0800] "GET /cioclass/statics/css/font-awesome.min.css HTTP/1.1" 200 31000
192.168.0.3 - - [03/Jan/2018:10:12:05 +0800] "GET /cioclass/statics/css/all-skins.min.css HTTP/1.1" 200 40757
192.168.0.3 - - [03/Jan/2018:10:12:05 +0800] "GET /cioclass/js/router.js HTTP/1.1" 200 1873
192.168.0.3 - - [03/Jan/2018:10:12:05 +0800] "GET /cioclass/js/jquery.slimscroll.min.js HTTP/1.1" 200 6230
192.168.0.3 - - [03/Jan/2018:10:12:05 +0800] "GET /cioclass/js/bootstrap.min.js HTTP/1.1" 200 37045
192.168.0.3 - - [03/Jan/2018:10:12:05 +0800] "GET /cioclass/js/jquery.min.js HTTP/1.1" 200 85578
192.168.0.3 - - [03/Jan/2018:10:12:05 +0800] "GET /cioclass/statics/css/AdminLTE.min.css HTTP/1.1" 200 90140
192.168.0.3 - - [03/Jan/2018:10:12:05 +0800] "GET /cioclass/statics/css/bootstrap.min.css HTTP/1.1" 200 121200
192.168.0.3 - - [03/Jan/2018:10:12:05 +0800] "GET /cioclass/js/vue.min.js HTTP/1.1" 200 70910
